docs/checklists/README.md	README.md	mirrors	EXTRACTED
docs/checklists/README.md	README.md	references	EXTRACTED
docs/checklists/README.md	scripts/bash/check-task-prerequisites.sh	mentions	INFERRED
docs/checklists/README.md	scripts/bash/get-feature-paths.sh	mentions	INFERRED
docs/checklists/README.md	scripts/bash/update-agent-context.sh	mentions	INFERRED
docs/checklists/README.md	templates/ai-headers/README.md	mirrors	EXTRACTED
docs/checklists/README.md	templates/cloud/README.md	mirrors	EXTRACTED
docs/checklists/README.md	templates/README.md	mirrors	EXTRACTED
docs/instructions/README.md	CLAUDE.md	mentions	INFERRED
docs/instructions/README.md	docs/prompts/README.md	mirrors	EXTRACTED
docs/instructions/README.md	docs/prompts/README.md	references	EXTRACTED
docs/instructions/README.md	docs/README.md	mirrors	EXTRACTED
docs/instructions/README.md	docs/scripts/README.md	mirrors	EXTRACTED
docs/instructions/README.md	docs/tasks/README.md	mirrors	EXTRACTED
docs/instructions/README.md	docs/templates/README.md	mirrors	EXTRACTED
docs/instructions/README.md	docs/templates/README.md	references	EXTRACTED
docs/instructions/README.md	docs/testing/README.md	mirrors	EXTRACTED
docs/instructions/README.md	README.md	mirrors	EXTRACTED
docs/instructions/README.md	README.md	references	EXTRACTED
docs/instructions/README.md	templates/ai-headers/README.md	mirrors	EXTRACTED
docs/instructions/README.md	templates/cloud/README.md	mirrors	EXTRACTED
docs/instructions/README.md	templates/README.md	mirrors	EXTRACTED
docs/prompts/README.md	docs/README.md	mirrors	EXTRACTED
docs/prompts/README.md	docs/scripts/README.md	mirrors	EXTRACTED
docs/prompts/README.md	docs/tasks/README.md	mirrors	EXTRACTED
docs/prompts/README.md	docs/templates/README.md	mirrors	EXTRACTED
docs/prompts/README.md	docs/testing/README.md	mirrors	EXTRACTED
docs/prompts/README.md	instructions/error-recovery.instructions.md	references	EXTRACTED
docs/prompts/README.md	instructions/plaesy.instructions.md	references	EXTRACTED
docs/prompts/README.md	instructions/quality-gates.instructions.md	references	EXTRACTED
docs/prompts/README.md	prompts/assess.md	mentions	INFERRED
docs/prompts/README.md	prompts/continue.md	mentions	INFERRED
docs/prompts/README.md	prompts/doc.md	mentions	INFERRED
docs/prompts/README.md	prompts/fix.md	mentions	INFERRED
docs/prompts/README.md	prompts/implement.md	mentions	INFERRED
docs/prompts/README.md	prompts/improve.md	mentions	INFERRED
docs/prompts/README.md	prompts/loop.md	mentions	INFERRED
docs/prompts/README.md	prompts/optimize.md	mentions	INFERRED
docs/prompts/README.md	prompts/save.md	mentions	INFERRED
docs/prompts/README.md	prompts/start.md	mentions	INFERRED
docs/prompts/README.md	README.md	mirrors	EXTRACTED
docs/prompts/README.md	templates/ai-headers/README.md	mirrors	EXTRACTED
docs/prompts/README.md	templates/cloud/README.md	mirrors	EXTRACTED
docs/prompts/README.md	templates/README.md	mirrors	EXTRACTED
docs/README.md	docs/chatmodes/README.md	references	EXTRACTED
docs/README.md	docs/checklists/README.md	references	EXTRACTED
docs/README.md	docs/instructions/README.md	references	EXTRACTED
docs/README.md	docs/prompts/README.md	references	EXTRACTED
docs/README.md	docs/scripts/README.md	mirrors	EXTRACTED
docs/README.md	docs/scripts/README.md	references	EXTRACTED
docs/README.md	docs/tasks/README.md	mirrors	EXTRACTED
docs/README.md	docs/tasks/README.md	references	EXTRACTED
docs/README.md	docs/templates/README.md	mirrors	EXTRACTED
docs/README.md	docs/templates/README.md	references	EXTRACTED
docs/README.md	docs/testing/README.md	mirrors	EXTRACTED
docs/README.md	docs/testing/README.md	references	EXTRACTED
docs/README.md	README.md	mirrors	EXTRACTED
docs/README.md	README.md	references	EXTRACTED
docs/README.md	templates/ai-headers/README.md	mirrors	EXTRACTED
